Time,Sound Velocity ,Pressure,Depth,Temperature,Conductivity ,Salinity,Potential Temperature ,Oxygen [mg/l],"Oxygen, [umol/Kg]",Density
90.5,1488.29,27.742,27.484,11.0482,34.309273,30.2648,11.0449,3.7114,113.366,1023.2085
90.75,1488.29,27.748,27.49,11.0484,34.309273,30.2646,11.0451,3.70829,113.271,1023.2083
91,1488.29,27.755,27.497,11.0484,34.30909,30.2644,11.0452,3.71692,113.535,1023.2082
91.25,1488.29,27.76,27.502,11.0482,34.30909,30.2646,11.0449,3.72123,113.666,1023.2084
91.5,1488.29,27.76,27.502,11.0482,34.308846,30.2644,11.0449,3.72284,113.715,1023.2082
91.75,1488.29,27.757,27.499,11.0481,34.30909,30.2647,11.0449,3.72116,113.664,1023.2085
92,1488.29,27.75,27.492,11.0481,34.30909,30.2647,11.0449,3.72204,113.691,1023.2084
92.25,1488.29,27.741,27.483,11.0482,34.30909,30.2646,11.045,3.72402,113.751,1023.2083
92.5,1488.29,27.733,27.475,11.0482,34.309273,30.2648,11.045,3.72203,113.691,1023.2084
92.75,1488.29,27.731,27.473,11.0483,34.30909,30.2645,11.0451,3.72148,113.674,1023.2082
93,1488.29,27.735,27.477,11.0484,34.30909,30.2645,11.0451,3.72442,113.764,1023.2081
93.25,1488.29,27.743,27.485,11.0484,34.309273,30.2646,11.0451,3.71535,113.487,1023.2083
93.5,1488.29,27.753,27.495,11.0484,34.309273,30.2646,11.0451,3.71667,113.527,1023.2084
93.75,1488.3,27.763,27.505,11.0484,34.309273,30.2646,11.0452,3.72172,113.681,1023.2084
94,1488.3,27.769,27.51,11.0484,34.309516,30.2648,11.0452,3.72169,113.68,1023.2086
94.25,1488.3,27.767,27.509,11.0486,34.30909,30.2642,11.0454,3.72171,113.681,1023.2081
94.5,1488.3,27.757,27.499,11.0486,34.30909,30.2643,11.0453,3.72435,113.762,1023.2081
94.75,1488.29,27.744,27.486,11.0484,34.30909,30.2645,11.0451,3.72601,113.812,1023.2082
95,1488.29,27.732,27.473,11.0484,34.309272,30.2646,11.0451,3.72282,113.715,1023.2083
95.25,1488.29,27.728,27.47,11.0485,34.30909,30.2644,11.0453,3.7304,113.946,1023.208
95.5,1488.29,27.736,27.478,11.0485,34.30909,30.2644,11.0453,3.72719,113.848,1023.208
95.75,1488.29,27.75,27.492,11.0484,34.309151,30.2645,11.0452,3.73358,114.044,1023.2082
96,1488.29,27.763,27.505,11.0484,34.308419,30.2638,11.0451,3.73412,114.06,1023.2078
96.25,1488.29,27.767,27.509,11.0485,34.308663,30.2639,11.0453,3.73751,114.164,1023.2079
96.5,1488.29,27.76,27.502,11.0481,34.308663,30.2643,11.0449,3.73159,113.983,1023.2082
96.75,1488.29,27.747,27.489,11.048,34.30909,30.2648,11.0447,3.73252,114.011,1023.2085
97,1488.29,27.737,27.479,11.048,34.30909,30.2647,11.0448,3.72691,113.84,1023.2084
97.25,1488.29,27.734,27.476,11.0481,34.309273,30.2649,11.0449,3.72481,113.776,1023.2085
97.5,1488.29,27.738,27.48,11.0484,34.30909,30.2644,11.0452,3.72715,113.847,1023.2081
97.75,1488.29,27.746,27.488,11.0484,34.30909,30.2645,11.0451,3.71084,113.349,1023.2082
98,1488.29,27.75,27.492,11.0484,34.30909,30.2645,11.0451,3.71405,113.447,1023.2082
98.25,1488.29,27.752,27.494,11.0484,34.30909,30.2644,11.0452,3.71199,113.384,1023.2082
98.5,1488.29,27.753,27.495,11.0484,34.308846,30.2642,11.0452,3.71756,113.554,1023.208
98.75,1488.29,27.755,27.497,11.0485,34.30909,30.2643,11.0453,3.71002,113.324,1023.2081
99,1488.29,27.758,27.5,11.0484,34.30909,30.2645,11.0451,3.71379,113.439,1023.2082
99.25,1488.29,27.758,27.5,11.0483,34.30909,30.2645,11.0451,3.70808,113.265,1023.2083
99.5,1488.29,27.755,27.497,11.0484,34.30909,30.2645,11.0451,3.71938,113.61,1023.2082
99.75,1488.29,27.747,27.489,11.0484,34.30909,30.2645,11.0451,3.71817,113.573,1023.2082
100,1488.29,27.742,27.484,11.0485,34.30909,30.2644,11.0453,3.72014,113.633,1023.2081
100.25,1488.29,27.739,27.481,11.0486,34.30909,30.2643,11.0453,3.71774,113.56,1023.208
100.5,1488.29,27.743,27.485,11.0486,34.30909,30.2643,11.0453,3.723,113.72,1023.208
100.75,1488.3,27.75,27.492,11.0486,34.30909,30.2642,11.0454,3.72746,113.857,1023.208
101,1488.29,27.756,27.498,11.0485,34.30909,30.2643,11.0453,3.72692,113.84,1023.2081
101.25,1488.29,27.757,27.499,11.0485,34.30909,30.2643,11.0453,3.72162,113.678,1023.2081
101.5,1488.29,27.752,27.494,11.0485,34.30909,30.2644,11.0453,3.71907,113.6,1023.2081
101.75,1488.29,27.746,27.488,11.0485,34.30909,30.2644,11.0453,3.72426,113.759,1023.2081
102,1488.29,27.743,27.485,11.0484,34.309273,30.2646,11.0452,3.72009,113.631,1023.2083
102.25,1488.29,27.742,27.484,11.0484,34.309273,30.2646,11.0452,3.72081,113.654,1023.2083
102.5,1488.3,27.744,27.486,11.0485,34.309273,30.2645,11.0453,3.71561,113.495,1023.2082
102.75,1488.3,27.746,27.488,11.0486,34.309516,30.2647,11.0454,3.71673,113.529,1023.2083
103,1488.3,27.748,27.49,11.0487,34.309516,30.2646,11.0455,3.71679,113.531,1023.2083
103.25,1488.3,27.751,27.493,11.0489,34.309272,30.2642,11.0457,3.71434,113.456,1023.2079
103.5,1488.3,27.756,27.498,11.0488,34.30909,30.2641,11.0456,3.71573,113.498,1023.2079
103.75,1488.3,27.762,27.504,11.0488,34.309273,30.2643,11.0455,3.70351,113.125,1023.2081
104,1488.3,27.761,27.503,11.0486,34.308846,30.264,11.0454,3.7121,113.387,1023.2079
104.25,1488.3,27.753,27.495,11.0486,34.30909,30.2643,11.0453,3.71441,113.458,1023.2081
104.5,1488.3,27.742,27.484,11.0487,34.309272,30.2644,11.0455,3.71682,113.532,1023.208
104.75,1488.3,27.736,27.478,11.0486,34.309272,30.2644,11.0454,3.71849,113.583,1023.2081
105,1488.3,27.739,27.481,11.0488,34.309272,30.2643,11.0456,3.72809,113.876,1023.208
105.25,1488.3,27.748,27.49,11.0488,34.309516,30.2645,11.0456,3.72688,113.839,1023.2082
105.5,1488.3,27.757,27.499,11.0489,34.309516,30.2644,11.0457,3.72701,113.843,1023.2081
105.75,1488.3,27.759,27.501,11.0489,34.309516,30.2644,11.0457,3.72525,113.789,1023.2081
106,1488.3,27.753,27.495,11.0489,34.309516,30.2644,11.0457,3.7219,113.687,1023.2081
106.25,1488.3,27.745,27.487,11.049,34.309699,30.2646,11.0458,3.7177,113.558,1023.2082
106.5,1488.3,27.74,27.482,11.0491,34.309516,30.2643,11.0459,3.72695,113.841,1023.2079
106.75,1488.3,27.744,27.486,11.0492,34.309699,30.2644,11.046,3.72125,113.667,1023.208
107,1488.3,27.753,27.495,11.0492,34.309516,30.2642,11.046,3.71843,113.581,1023.2078
107.25,1488.3,27.761,27.502,11.0493,34.309516,30.2641,11.0461,3.72954,113.92,1023.2078
107.5,1488.3,27.762,27.504,11.0492,34.309516,30.2642,11.046,3.73101,113.965,1023.2079
107.75,1488.3,27.754,27.496,11.0493,34.309516,30.2641,11.0461,3.74101,114.27,1023.2078
108,1488.3,27.744,27.485,11.0493,34.309516,30.2641,11.0461,3.73573,114.109,1023.2077
108.25,1488.3,27.736,27.477,11.0493,34.309516,30.2641,11.0461,3.73877,114.202,1023.2077
108.5,1488.3,27.732,27.473,11.0492,34.309516,30.2642,11.046,3.73914,114.214,1023.2077
108.75,1488.3,27.735,27.477,11.0492,34.309516,30.2642,11.046,3.74029,114.248,1023.2078
109,1488.3,27.742,27.483,11.0492,34.309699,30.2643,11.046,3.73764,114.167,1023.2079
109.25,1488.3,27.75,27.492,11.0492,34.309699,30.2643,11.046,3.73687,114.144,1023.208
109.5,1488.3,27.759,27.501,11.0494,34.309699,30.2642,11.0462,3.74363,114.351,1023.2079
109.75,1488.3,27.766,27.507,11.0494,34.309516,30.264,11.0462,3.74251,114.316,1023.2078
110,1488.3,27.769,27.511,11.0496,34.309699,30.264,11.0464,3.74684,114.449,1023.2078
110.25,1488.3,27.765,27.506,11.0497,34.309699,30.2639,11.0465,3.74177,114.294,1023.2076
110.5,1488.3,27.754,27.495,11.0496,34.309516,30.2638,11.0464,3.74403,114.363,1023.2075
110.75,1488.3,27.739,27.481,11.0496,34.309516,30.2638,11.0464,3.74228,114.309,1023.2074
111,1488.3,27.73,27.472,11.0494,34.309699,30.2642,11.0462,3.74078,114.264,1023.2077
111.25,1488.3,27.733,27.475,11.0495,34.309943,30.2644,11.0463,3.74891,114.512,1023.2079
111.5,1488.3,27.744,27.485,11.0497,34.310126,30.2644,11.0465,3.74772,114.476,1023.2079
111.75,1488.3,27.755,27.497,11.0498,34.309943,30.2641,11.0466,3.74108,114.273,1023.2077
112,1488.3,27.758,27.5,11.0499,34.309272,30.2634,11.0467,3.75323,114.644,1023.2071
112.25,1488.3,27.754,27.496,11.0497,34.309516,30.2638,11.0465,3.7585,114.805,1023.2075
112.5,1488.3,27.747,27.489,11.0494,34.309699,30.2642,11.0462,3.75733,114.769,1023.2078
112.75,1488.3,27.744,27.486,11.0494,34.309516,30.264,11.0462,3.76076,114.874,1023.2076
113,1488.3,27.747,27.489,11.0494,34.309516,30.264,11.0462,3.75759,114.777,1023.2077
113.25,1488.3,27.754,27.496,11.0492,34.309272,30.2639,11.046,3.76033,114.861,1023.2077
113.5,1488.3,27.756,27.498,11.0492,34.309272,30.264,11.046,3.76477,114.996,1023.2077
113.75,1488.3,27.748,27.49,11.0488,34.309516,30.2645,11.0456,3.76232,114.921,1023.2081
114,1488.3,27.736,27.478,11.049,34.309699,30.2646,11.0458,3.75551,114.713,1023.2081
114.25,1488.3,27.729,27.471,11.049,34.309272,30.2641,11.0458,3.75594,114.727,1023.2078
114.5,1488.3,27.736,27.478,11.0492,34.309699,30.2644,11.046,3.74333,114.341,1023.208
114.75,1488.3,27.755,27.497,11.0492,34.309516,30.2642,11.046,3.74018,114.245,1023.2079
115,1488.3,27.775,27.517,11.0492,34.30909,30.2638,11.046,3.73255,114.012,1023.2077
115.25,1488.3,27.784,27.525,11.0489,34.30909,30.264,11.0457,3.72461,113.77,1023.2079
115.5,1488.3,27.774,27.515,11.0487,34.30909,30.2642,11.0455,3.71777,113.561,1023.208
115.75,1488.3,27.751,27.493,11.0486,34.309516,30.2647,11.0454,3.71486,113.472,1023.2083
116,1488.3,27.728,27.47,11.049,34.309943,30.2648,11.0458,3.71523,113.483,1023.2083
116.25,1488.3,27.718,27.46,11.0492,34.310126,30.2648,11.046,3.71661,113.525,1023.2082
116.5,1488.3,27.725,27.467,11.0496,34.309943,30.2642,11.0464,3.72049,113.644,1023.2077
116.75,1488.3,27.742,27.484,11.0498,34.309943,30.2641,11.0466,3.72042,113.642,1023.2077
117,1488.3,27.757,27.498,11.0496,34.309516,30.2638,11.0464,3.72532,113.791,1023.2075
117.25,1488.3,27.763,27.504,11.0494,34.309272,30.2637,11.0462,3.72801,113.874,1023.2075
117.5,1488.3,27.761,27.503,11.0493,34.309272,30.2639,11.0461,3.73255,114.012,1023.2076
117.75,1488.3,27.755,27.497,11.0492,34.309699,30.2644,11.046,3.73716,114.153,1023.208
118,1488.3,27.75,27.491,11.0492,34.309516,30.2642,11.046,3.74212,114.305,1023.2078
118.25,1488.3,27.746,27.488,11.0493,34.309699,30.2643,11.0461,3.73488,114.083,1023.2079
118.5,1488.3,27.744,27.485,11.0494,34.309516,30.264,11.0462,3.73824,114.186,1023.2077
118.75,1488.3,27.741,27.483,11.0494,34.309272,30.2638,11.0462,3.73962,114.228,1023.2074
119,1488.3,27.742,27.484,11.0494,34.309272,30.2638,11.0462,3.73791,114.176,1023.2074
119.25,1488.3,27.747,27.488,11.0494,34.309516,30.264,11.0462,3.73153,113.981,1023.2077
119.5,1488.3,27.755,27.497,11.0493,34.309516,30.2641,11.0461,3.73414,114.061,1023.2078
119.75,1488.3,27.76,27.502,11.0493,34.309272,30.2639,11.0461,3.7313,113.974,1023.2076
120,1488.3,27.76,27.502,11.0492,34.309516,30.2642,11.046,3.73099,113.964,1023.2079
120.25,1488.3,27.753,27.495,11.0494,34.309516,30.264,11.0462,3.73197,113.995,1023.2077
120.5,1488.3,27.743,27.485,11.0493,34.309516,30.2641,11.0461,3.72443,113.764,1023.2077
120.75,1488.3,27.74,27.482,11.0492,34.309516,30.2642,11.046,3.73296,114.025,1023.2078
121,1488.3,27.745,27.487,11.0491,34.309272,30.264,11.0459,3.73125,113.972,1023.2077
121.25,1488.3,27.754,27.496,11.0489,34.309272,30.2642,11.0457,3.72785,113.869,1023.2079
121.5,1488.3,27.759,27.5,11.049,34.30909,30.264,11.0458,3.7225,113.705,1023.2078
121.75,1488.3,27.755,27.496,11.0488,34.309273,30.2643,11.0455,3.71664,113.526,1023.208
122,1488.3,27.743,27.485,11.0488,34.309272,30.2643,11.0456,3.72222,113.697,1023.2079
122.25,1488.3,27.732,27.474,11.049,34.309516,30.2643,11.0458,3.71641,113.519,1023.2079
122.5,1488.3,27.732,27.473,11.0492,34.309516,30.2642,11.046,3.71937,113.61,1023.2078
122.75,1488.3,27.742,27.484,11.0492,34.309516,30.2642,11.046,3.71537,113.487,1023.2078
123,1488.3,27.756,27.498,11.0493,34.309516,30.2641,11.0461,3.72106,113.661,1023.2078
123.25,1488.3,27.767,27.508,11.0495,34.309516,30.2639,11.0463,3.72387,113.747,1023.2077
123.5,1488.3,27.767,27.508,11.0493,34.309516,30.2641,11.0461,3.72735,113.853,1023.2078
123.75,1488.3,27.758,27.499,11.0492,34.309699,30.2643,11.046,3.73035,113.945,1023.208
124,1488.3,27.746,27.488,11.0494,34.309943,30.2645,11.0462,3.72272,113.712,1023.208
124.25,1488.3,27.74,27.482,11.0496,34.309943,30.2643,11.0464,3.7337,114.047,1023.2078
124.5,1488.3,27.74,27.482,11.0496,34.309943,30.2642,11.0464,3.72955,113.92,1023.2078
124.75,1488.3,27.744,27.486,11.0498,34.309943,30.2641,11.0466,3.73133,113.975,1023.2077
125,1488.3,27.748,27.49,11.0496,34.309943,30.2642,11.0464,3.72254,113.706,1023.2078
125.25,1488.3,27.749,27.49,11.0499,34.310126,30.2642,11.0466,3.71772,113.559,1023.2078
125.5,1488.3,27.746,27.488,11.0499,34.309943,30.264,11.0467,3.71199,113.384,1023.2076
125.75,1488.3,27.745,27.487,11.0499,34.310126,30.2643,11.0466,3.71337,113.426,1023.2078
126,1488.3,27.747,27.488,11.0501,34.310126,30.264,11.0469,3.71954,113.615,1023.2076
126.25,1488.3,27.751,27.492,11.0502,34.310126,30.264,11.047,3.72393,113.749,1023.2075
126.5,1488.3,27.756,27.498,11.05,34.310126,30.2641,11.0468,3.73275,114.018,1023.2077
126.75,1488.3,27.76,27.502,11.0502,34.310126,30.264,11.047,3.74038,114.251,1023.2076
127,1488.3,27.759,27.501,11.0501,34.309943,30.2638,11.0469,3.74814,114.489,1023.2075
127.25,1488.3,27.753,27.495,11.0501,34.309943,30.2638,11.0469,3.75216,114.611,1023.2074
127.5,1488.3,27.745,27.487,11.0501,34.310126,30.264,11.0469,3.75357,114.654,1023.2076
127.75,1488.3,27.738,27.48,11.0502,34.310126,30.264,11.047,3.74655,114.44,1023.2075
128,1488.3,27.736,27.478,11.0503,34.310309,30.2641,11.047,3.74979,114.539,1023.2075
128.25,1488.3,27.74,27.482,11.0504,34.310552,30.2642,11.0472,3.74261,114.319,1023.2076
128.5,1488.3,27.75,27.492,11.0504,34.310309,30.264,11.0472,3.74169,114.291,1023.2075
128.75,1488.3,27.76,27.502,11.0506,34.310309,30.2638,11.0474,3.75437,114.679,1023.2074
129,1488.3,27.766,27.508,11.0506,34.310126,30.2636,11.0474,3.75154,114.592,1023.2073
129.25,1488.3,27.762,27.504,11.0504,34.309943,30.2636,11.0472,3.76332,114.952,1023.2073
129.5,1488.3,27.751,27.492,11.0504,34.310126,30.2638,11.0472,3.76594,115.032,1023.2074
129.75,1488.3,27.737,27.478,11.0503,34.310552,30.2643,11.047,3.76802,115.096,1023.2077
130,1488.3,27.728,27.47,11.0503,34.310309,30.264,11.0471,3.76244,114.925,1023.2075
130.25,1488.3,27.728,27.47,11.0503,34.310552,30.2643,11.047,3.76433,114.983,1023.2077
130.5,1488.3,27.738,27.48,11.0503,34.310552,30.2643,11.0471,3.76337,114.954,1023.2077
130.75,1488.3,27.75,27.492,11.0503,34.310309,30.264,11.0471,3.75318,114.642,1023.2075
131,1488.3,27.763,27.504,11.0504,34.310309,30.264,11.0472,3.75251,114.622,1023.2075
131.25,1488.3,27.77,27.511,11.0503,34.310126,30.2639,11.047,3.75826,114.797,1023.2075
131.5,1488.3,27.773,27.514,11.0502,34.310126,30.264,11.047,3.76061,114.869,1023.2076
131.75,1488.3,27.769,27.51,11.0503,34.310126,30.2639,11.047,3.75418,114.673,1023.2075
132,1488.3,27.761,27.502,11.0501,34.310126,30.2641,11.0468,3.75952,114.836,1023.2077
132.25,1488.3,27.747,27.489,11.0502,34.310735,30.2646,11.047,3.75741,114.771,1023.208
132.5,1488.3,27.732,27.474,11.0504,34.310735,30.2644,11.0472,3.75266,114.626,1023.2077
132.75,1488.3,27.721,27.463,11.0507,34.310552,30.264,11.0475,3.75542,114.711,1023.2073
133,1488.3,27.72,27.462,11.0508,34.310735,30.2641,11.0476,3.75321,114.643,1023.2074
133.25,1488.3,27.729,27.471,11.0511,34.310735,30.2638,11.0479,3.75279,114.63,1023.2072
133.5,1488.3,27.746,27.488,11.0511,34.310735,30.2638,11.0479,3.75499,114.698,1023.2072
133.75,1488.3,27.764,27.506,11.0509,34.310552,30.2638,11.0476,3.7541,114.67,1023.2074
134,1488.3,27.776,27.517,11.0509,34.310309,30.2635,11.0477,3.75172,114.598,1023.2072
134.25,1488.3,27.777,27.519,11.0507,34.310309,30.2637,11.0474,3.75605,114.73,1023.2074
134.5,1488.3,27.768,27.509,11.0507,34.310309,30.2638,11.0474,3.75419,114.673,1023.2073
134.75,1488.3,27.75,27.491,11.0506,34.310735,30.2642,11.0474,3.74888,114.511,1023.2076
135,1488.3,27.734,27.476,11.0506,34.310552,30.2641,11.0474,3.76001,114.851,1023.2074
135.25,1488.3,27.725,27.467,11.0508,34.310735,30.2641,11.0476,3.75633,114.739,1023.2074
135.5,1488.3,27.728,27.47,11.0508,34.310979,30.2643,11.0476,3.75964,114.84,1023.2076
135.75,1488.3,27.741,27.482,11.051,34.311162,30.2643,11.0478,3.75851,114.805,1023.2076
136,1488.3,27.758,27.5,11.0511,34.311162,30.2642,11.0479,3.76302,114.943,1023.2076
136.25,1488.3,27.771,27.513,11.0511,34.310979,30.264,11.0479,3.75764,114.778,1023.2075
136.5,1488.3,27.776,27.517,11.0512,34.310735,30.2637,11.048,3.75621,114.735,1023.2073
136.75,1488.3,27.769,27.51,11.0512,34.310735,30.2637,11.048,3.75109,114.578,1023.2072
137,1488.3,27.756,27.498,11.0511,34.310979,30.264,11.0479,3.75488,114.694,1023.2074
137.25,1488.3,27.741,27.483,11.0511,34.310735,30.2638,11.0479,3.7581,114.793,1023.2072
137.5,1488.3,27.73,27.472,11.0512,34.310979,30.264,11.048,3.75361,114.655,1023.2073
137.75,1488.3,27.727,27.469,11.0513,34.310979,30.2639,11.0481,3.75703,114.76,1023.2072
138,1488.3,27.729,27.47,11.0514,34.310979,30.2638,11.0482,3.75401,114.668,1023.2071
138.25,1488.3,27.735,27.476,11.0513,34.310979,30.2639,11.0481,3.74741,114.466,1023.2072
138.5,1488.3,27.742,27.484,11.0513,34.310552,30.2634,11.0481,3.75112,114.579,1023.2069
138.75,1488.3,27.749,27.491,11.051,34.310309,30.2635,11.0478,3.75191,114.604,1023.207
139,1488.3,27.757,27.499,11.0509,34.310735,30.264,11.0476,3.75476,114.691,1023.2075
139.25,1488.3,27.766,27.507,11.051,34.310735,30.2639,11.0478,3.75592,114.726,1023.2074
139.5,1488.3,27.771,27.512,11.051,34.310552,30.2637,11.0478,3.75904,114.821,1023.2073
139.75,1488.3,27.772,27.514,11.0508,34.310126,30.2635,11.0476,3.75313,114.641,1023.2071
140,1488.3,27.767,27.508,11.0506,34.310552,30.264,11.0474,3.75373,114.659,1023.2076
140.25,1488.3,27.756,27.497,11.0506,34.310552,30.2641,11.0474,3.75316,114.642,1023.2075
140.5,1488.3,27.741,27.483,11.0507,34.310552,30.2639,11.0475,3.74913,114.519,1023.2074
140.75,1488.3,27.73,27.472,11.0508,34.310552,30.2639,11.0476,3.75321,114.643,1023.2073
141,1488.3,27.726,27.468,11.0507,34.310552,30.264,11.0475,3.74861,114.503,1023.2073
141.25,1488.3,27.733,27.474,11.0506,34.310979,30.2645,11.0474,3.74937,114.526,1023.2078
141.5,1488.3,27.744,27.486,11.0509,34.310979,30.2642,11.0477,3.75629,114.737,1023.2076
141.75,1488.3,27.757,27.499,11.0511,34.311406,30.2644,11.0479,3.7556,114.716,1023.2077
142,1488.31,27.766,27.507,11.0516,34.311162,30.2638,11.0484,3.75735,114.77,1023.2072
142.25,1488.31,27.767,27.508,11.0514,34.311406,30.2642,11.0482,3.75383,114.662,1023.2076
142.5,1488.31,27.761,27.502,11.0514,34.311406,30.2642,11.0482,3.756,114.729,1023.2075
142.75,1488.3,27.751,27.493,11.0513,34.311406,30.2643,11.0481,3.75155,114.593,1023.2076
143,1488.3,27.743,27.484,11.0515,34.311162,30.2639,11.0483,3.76076,114.874,1023.2072
143.25,1488.31,27.739,27.481,11.0516,34.311162,30.2638,11.0484,3.7572,114.765,1023.2071
143.5,1488.31,27.742,27.483,11.0516,34.311162,30.2638,11.0484,3.75036,114.556,1023.2071
143.75,1488.31,27.744,27.485,11.0517,34.311406,30.264,11.0485,3.74787,114.48,1023.2073
144,1488.31,27.744,27.486,11.0515,34.311406,30.2641,11.0483,3.74815,114.489,1023.2074
144.25,1488.31,27.743,27.484,11.0517,34.311589,30.2642,11.0485,3.74874,114.507,1023.2074
144.5,1488.31,27.742,27.483,11.0517,34.311589,30.2642,11.0485,3.74327,114.34,1023.2074
144.75,1488.31,27.747,27.489,11.0515,34.311589,30.2643,11.0483,3.74886,114.51,1023.2076
145,1488.31,27.759,27.501,11.0516,34.311832,30.2645,11.0484,3.73948,114.224,1023.2077
145.25,1488.31,27.771,27.513,11.0517,34.310979,30.2636,11.0485,3.74593,114.421,1023.207
145.5,1488.31,27.778,27.519,11.0517,34.310735,30.2633,11.0485,3.74118,114.276,1023.2069
145.75,1488.3,27.772,27.514,11.0513,34.310979,30.2639,11.0481,3.75023,114.552,1023.2074
146,1488.3,27.753,27.495,11.0513,34.311162,30.2641,11.0481,3.74296,114.33,1023.2074
146.25,1488.3,27.732,27.474,11.0513,34.311406,30.2643,11.0481,3.75127,114.584,1023.2075
146.5,1488.3,27.716,27.458,11.0516,34.311162,30.2638,11.0484,3.7498,114.539,1023.207
146.75,1488.31,27.717,27.459,11.0515,34.311589,30.2643,11.0483,3.74947,114.529,1023.2074
147,1488.31,27.732,27.474,11.0516,34.311406,30.2641,11.0484,3.7519,114.603,1023.2073
147.25,1488.31,27.753,27.495,11.0518,34.311589,30.2641,11.0486,3.74738,114.465,1023.2073
147.5,1488.31,27.768,27.51,11.0522,34.311162,30.2633,11.049,3.75254,114.623,1023.2067
147.75,1488.31,27.771,27.512,11.052,34.311406,30.2638,11.0487,3.74629,114.432,1023.2071
148,1488.31,27.764,27.506,11.0518,34.311406,30.2639,11.0486,3.75295,114.635,1023.2072
148.25,1488.31,27.754,27.496,11.0519,34.311406,30.2638,11.0487,3.7457,114.414,1023.2071
148.5,1488.31,27.749,27.49,11.0518,34.311162,30.2636,11.0486,3.75099,114.575,1023.207
148.75,1488.31,27.748,27.49,11.052,34.311589,30.2639,11.0488,3.74805,114.486,1023.2071
149,1488.31,27.75,27.492,11.0518,34.311162,30.2636,11.0486,3.7536,114.655,1023.207
149.25,1488.31,27.75,27.492,11.052,34.311406,30.2638,11.0487,3.74688,114.45,1023.2071
149.5,1488.31,27.746,27.488,11.0519,34.311406,30.2638,11.0487,3.74523,114.4,1023.2071
149.75,1488.31,27.74,27.482,11.0518,34.311406,30.2639,11.0485,3.75055,114.562,1023.2072
150,1488.31,27.737,27.479,11.0519,34.311589,30.264,11.0487,3.74711,114.457,1023.2072
150.25,1488.31,27.741,27.482,11.052,34.311832,30.2642,11.0487,3.74488,114.389,1023.2073
150.5,1488.31,27.749,27.49,11.0521,34.312015,30.2643,11.0489,3.74364,114.351,1023.2074
150.75,1488.31,27.758,27.499,11.0521,34.311406,30.2637,11.0489,3.74701,114.454,1023.207
151,1488.31,27.762,27.504,11.0521,34.311162,30.2634,11.0489,3.74505,114.394,1023.2068
151.25,1488.31,27.761,27.502,11.0519,34.311345,30.2638,11.0487,3.74624,114.43,1023.2071
151.5,1488.31,27.754,27.496,11.0518,34.311162,30.2637,11.0485,3.74358,114.349,1023.2071
151.75,1488.31,27.749,27.491,11.0517,34.311162,30.2638,11.0485,3.74346,114.346,1023.2071
152,1488.31,27.745,27.486,11.0515,34.311406,30.2641,11.0483,3.75375,114.66,1023.2074
152.25,1488.31,27.746,27.488,11.0515,34.311406,30.2641,11.0483,3.74777,114.477,1023.2074
152.5,1488.31,27.75,27.492,11.0517,34.311406,30.264,11.0485,3.74618,114.428,1023.2073
152.75,1488.31,27.752,27.494,11.0518,34.311162,30.2637,11.0485,3.74808,114.487,1023.207
153,1488.31,27.752,27.494,11.0519,34.311406,30.2638,11.0487,3.74475,114.385,1023.2071
153.25,1488.31,27.748,27.49,11.0517,34.311406,30.264,11.0485,3.74589,114.42,1023.2073
153.5,1488.31,27.744,27.485,11.0517,34.311406,30.264,11.0485,3.74793,114.482,1023.2073
153.75,1488.31,27.74,27.481,11.0518,34.311406,30.2639,11.0485,3.74197,114.3,1023.2072
154,1488.31,27.738,27.48,11.0518,34.311406,30.2639,11.0485,3.73914,114.214,1023.2072
154.25,1488.31,27.741,27.483,11.0516,34.311406,30.2641,11.0484,3.73929,114.218,1023.2073
154.5,1488.31,27.747,27.488,11.0518,34.311589,30.2641,11.0486,3.73179,113.989,1023.2073
154.75,1488.31,27.755,27.496,11.0519,34.311162,30.2636,11.0487,3.73271,114.017,1023.2069
155,1488.31,27.759,27.501,11.0516,34.310979,30.2636,11.0484,3.73005,113.936,1023.207
155.25,1488.3,27.761,27.503,11.0514,34.310979,30.2638,11.0482,3.73036,113.945,1023.2072
155.5,1488.3,27.758,27.499,11.0514,34.310735,30.2636,11.0482,3.73244,114.009,1023.207
155.75,1488.3,27.754,27.496,11.0511,34.310979,30.264,11.0479,3.73494,114.085,1023.2074
156,1488.3,27.751,27.492,11.051,34.311162,30.2643,11.0478,3.7337,114.047,1023.2076
156.25,1488.31,27.75,27.492,11.0514,34.311406,30.2642,11.0482,3.74037,114.251,1023.2075
156.5,1488.31,27.75,27.492,11.0519,34.311589,30.264,11.0487,3.74048,114.254,1023.2073
156.75,1488.31,27.75,27.492,11.052,34.311589,30.264,11.0487,3.74536,114.403,1023.2072
157,1488.31,27.748,27.489,11.052,34.311406,30.2637,11.0488,3.74824,114.492,1023.207
157.25,1488.31,27.742,27.484,11.052,34.311162,30.2635,11.0488,3.74025,114.247,1023.2068
157.5,1488.31,27.739,27.481,11.052,34.311589,30.264,11.0487,3.74597,114.422,1023.2071
157.75,1488.31,27.738,27.48,11.0522,34.311589,30.2638,11.0489,3.75197,114.605,1023.207
158,1488.31,27.744,27.485,11.0523,34.311589,30.2637,11.0491,3.752,114.606,1023.2069
158.25,1488.31,27.752,27.494,11.0524,34.311832,30.2639,11.0491,3.74272,114.323,1023.2071
