Time,Sound Velocity,"Pressure, Strain Gauge [db]",Depth,Temperature ,Conductivity,Salinity,Potential Temperature ,Oxygen [mg/l],Oxygen [umol/Kg],Density
0,1460.58,0.02,0.019,13.4613,0.167592,0.1033,13.4613,8.94349,279.656,999.3997
0.25,1460.57,0.019,0.019,13.4593,0.168419,0.1038,13.4593,8.94772,279.788,999.4004
0.5,1460.56,0.019,0.019,13.4577,0.169332,0.1044,13.4577,8.94735,279.776,999.401
0.75,1460.56,0.019,0.019,13.4556,0.16956,0.1045,13.4556,8.95405,279.986,999.4014
1,1460.55,0.02,0.02,13.4538,0.168733,0.104,13.4538,8.9544,279.997,999.4013
1.25,1460.54,0.02,0.019,13.4519,0.16705,0.103,13.4519,8.95089,279.887,999.4007
1.5,1460.53,0.02,0.019,13.4499,0.165111,0.1018,13.4499,8.95454,280.001,999.4001
1.75,1460.52,0.02,0.019,13.4481,0.163628,0.1009,13.4481,8.95797,280.109,999.3996
2,1460.52,0.019,0.019,13.4462,0.162972,0.1005,13.4462,8.94789,279.794,999.3995
2.25,1460.51,0.019,0.019,13.4443,0.163285,0.1007,13.4443,8.95189,279.918,999.3999
2.5,1460.5,0.019,0.019,13.4425,0.164341,0.1014,13.4425,8.95606,280.049,999.4007
2.75,1460.5,0.019,0.019,13.4407,0.16531,0.102,13.4407,8.94982,279.853,999.4014
3,1460.49,0.019,0.019,13.4388,0.165424,0.102,13.4388,8.95428,279.993,999.4017
3.25,1460.48,0.019,0.019,13.4369,0.164711,0.1016,13.4369,8.95393,279.982,999.4016
3.5,1460.48,0.019,0.019,13.4351,0.163428,0.1008,13.4351,8.95503,280.016,999.4012
3.75,1460.47,0.019,0.019,13.4333,0.162259,0.1001,13.4333,8.94832,279.807,999.4009
4,1460.46,0.019,0.018,13.4313,0.161774,0.0998,13.4313,8.95415,279.989,999.401
4.25,1460.45,0.019,0.019,13.4294,0.161404,0.0996,13.4294,8.94886,279.824,999.401
4.5,1460.45,0.019,0.019,13.4276,0.161061,0.0994,13.4276,8.95018,279.865,999.4011
4.75,1460.44,0.019,0.019,13.4261,0.160149,0.0988,13.4261,8.95387,279.98,999.4009
5,1460.43,0.019,0.019,13.424,0.159493,0.0984,13.424,8.95301,279.953,999.4008
5.25,1460.43,0.019,0.019,13.4221,0.158952,0.0981,13.4221,8.95495,280.014,999.4008
5.5,1460.42,0.019,0.019,13.4202,0.159379,0.0984,13.4202,8.95929,280.15,999.4013
5.75,1460.41,0.019,0.018,13.4185,0.160035,0.0988,13.4185,8.95441,279.997,999.4018
6,1460.41,0.02,0.019,13.4168,0.160035,0.0988,13.4168,8.95686,280.073,999.4021
6.25,1460.4,0.02,0.019,13.415,0.159322,0.0983,13.415,8.96022,280.178,999.402
6.5,1460.39,0.019,0.019,13.4131,0.158239,0.0977,13.4131,8.95887,280.136,999.4017
6.75,1460.39,0.019,0.019,13.4115,0.157384,0.0972,13.4115,8.95783,280.104,999.4015
7,1460.38,0.02,0.019,13.4095,0.156357,0.0965,13.4095,8.9643,280.306,999.4013
7.25,1460.37,0.019,0.018,13.4079,0.155588,0.0961,13.4079,8.9674,280.403,999.4011
7.5,1460.37,0.019,0.019,13.406,0.15536,0.0959,13.406,8.96233,280.245,999.4013
7.75,1460.36,0.019,0.019,13.4042,0.155873,0.0962,13.4042,8.96402,280.297,999.4018
8,1460.35,0.019,0.019,13.4024,0.1565,0.0966,13.4024,8.96672,280.382,999.4023
8.25,1460.35,0.019,0.019,13.4008,0.156785,0.0968,13.4008,8.95733,280.088,999.4027
8.5,1460.34,0.02,0.019,13.3989,0.156329,0.0965,13.3989,8.95964,280.16,999.4027
8.75,1460.33,0.019,0.019,13.3973,0.155588,0.0961,13.3973,8.96266,280.255,999.4026
9,1460.33,0.02,0.019,13.3954,0.154875,0.0957,13.3954,8.96017,280.177,999.4025
9.25,1460.32,0.019,0.019,13.3937,0.154191,0.0952,13.3937,8.95432,279.994,999.4024
9.5,1460.31,0.02,0.019,13.392,0.153393,0.0948,13.392,8.96306,280.267,999.4022
9.75,1460.31,0.019,0.019,13.3903,0.152652,0.0943,13.3903,8.96385,280.292,999.4021
10,1460.3,0.019,0.018,13.3886,0.152424,0.0942,13.3886,8.96873,280.444,999.4022
10.25,1460.29,0.019,0.019,13.3867,0.152481,0.0942,13.3867,8.9678,280.415,999.4025
10.5,1460.29,0.019,0.019,13.385,0.15288,0.0945,13.385,8.96618,280.365,999.4029
10.75,1460.28,0.019,0.019,13.3832,0.15345,0.0948,13.3832,8.97073,280.506,999.4034
11,1460.27,0.019,0.019,13.3815,0.153507,0.0948,13.3815,8.96537,280.339,999.4037
11.25,1460.27,0.019,0.019,13.3799,0.152852,0.0944,13.3799,8.96679,280.384,999.4036
11.5,1460.26,0.02,0.02,13.3782,0.151769,0.0938,13.3782,8.96761,280.409,999.4033
11.75,1460.25,0.02,0.02,13.3764,0.150914,0.0933,13.3764,8.97077,280.508,999.4031
12,1460.25,0.02,0.02,13.375,0.150486,0.093,13.375,8.96263,280.253,999.4031
12.25,1460.24,0.019,0.019,13.3733,0.150914,0.0933,13.3733,8.96883,280.447,999.4035
12.5,1460.24,0.019,0.019,13.3717,0.152709,0.0944,13.3717,8.96798,280.42,999.4046
12.75,1460.23,0.019,0.019,13.37,0.154476,0.0955,13.37,8.96779,280.414,999.4057
13,1460.23,0.019,0.019,13.3683,0.154932,0.0957,13.3683,8.96416,280.3,999.4061
13.25,1460.22,0.02,0.019,13.3666,0.154818,0.0957,13.3666,8.96661,280.377,999.4063
13.5,1460.21,0.02,0.019,13.3651,0.153194,0.0947,13.3651,8.96539,280.339,999.4057
13.75,1460.21,0.02,0.019,13.3633,0.151997,0.094,13.3633,8.97268,280.567,999.4054
14,1460.2,0.02,0.02,13.3619,0.151341,0.0936,13.3619,8.97888,280.761,999.4052
14.25,1460.2,0.019,0.019,13.3601,0.151398,0.0936,13.3601,8.98273,280.881,999.4055
14.5,1460.19,0.02,0.019,13.3585,0.152054,0.094,13.3585,8.98183,280.853,999.406
14.75,1460.18,0.018,0.018,13.3569,0.152595,0.0943,13.3569,8.97482,280.634,999.4065
15,1460.18,0.019,0.019,13.3552,0.152253,0.0941,13.3552,8.97584,280.665,999.4066
15.25,1460.17,0.019,0.019,13.3538,0.15345,0.0949,13.3538,8.97357,280.594,999.4073
15.5,1460.17,0.019,0.019,13.3521,0.153422,0.0949,13.3521,8.96771,280.411,999.4075
15.75,1460.16,0.019,0.019,13.3504,0.152538,0.0943,13.3504,8.9567,280.067,999.4073
16,1460.16,0.019,0.019,13.349,0.154647,0.0956,13.349,8.96003,280.171,999.4085
16.25,1460.15,0.02,0.019,13.3474,0.158096,0.0977,13.3474,8.95109,279.89,999.4104
16.5,1460.15,0.02,0.02,13.3457,0.157697,0.0975,13.3457,8.95147,279.902,999.4104
16.75,1460.14,0.019,0.019,13.3442,0.159208,0.0984,13.3442,8.95141,279.9,999.4114
17,1460.14,0.02,0.02,13.3424,0.158838,0.0982,13.3424,8.95017,279.861,999.4114
17.25,1460.13,0.02,0.02,13.3409,0.159864,0.0988,13.3409,8.94111,279.578,999.4121
17.5,1460.13,0.02,0.019,13.3391,0.161404,0.0998,13.3391,8.9496,279.843,999.4131
17.75,1460.12,0.02,0.02,13.3375,0.161888,0.1001,13.3375,8.95236,279.929,999.4135
18,1460.12,0.02,0.019,13.3357,0.163742,0.1012,13.3357,8.94641,279.743,999.4147
18.25,1460.11,0.02,0.019,13.3341,0.165995,0.1026,13.3341,8.95416,279.985,999.416
18.5,1460.11,0.02,0.02,13.3326,0.171243,0.1059,13.3326,8.95023,279.861,999.4187
18.75,1460.11,0.02,0.019,13.331,0.174182,0.1077,13.331,8.96145,280.212,999.4203
19,1460.1,0.02,0.02,13.3292,0.172898,0.1069,13.3292,8.96402,280.292,999.4199
19.25,1460.09,0.019,0.019,13.3279,0.172669,0.1068,13.3278,8.97253,280.558,999.42
19.5,1460.09,0.02,0.02,13.3261,0.172612,0.1067,13.3261,8.97196,280.54,999.4202
19.75,1460.08,0.02,0.019,13.3246,0.173982,0.1076,13.3246,8.98153,280.839,999.4211
20,1460.08,0.02,0.02,13.3228,0.177235,0.1096,13.3228,8.98511,280.951,999.4229
20.25,1460.07,0.02,0.02,13.3211,0.178091,0.1101,13.3211,8.98738,281.021,999.4235
20.5,1464.55,0.067,0.067,13.2957,5.480427,3.9003,13.2957,8.78006,273.734,1002.3621
20.75,1484.62,0.207,0.205,12.767,27.329503,22.4926,12.7669,7.91439,243.249,1016.7685
21,1490.89,0.311,0.308,12.0503,34.738113,29.8768,12.0503,7.66767,234.321,1022.6059
21.25,1489.66,0.371,0.368,11.5686,34.722609,30.251,11.5686,7.72986,236.135,1022.9827
21.5,1488.91,0.406,0.402,11.2737,34.716273,30.4871,11.2737,7.77234,237.378,1023.2181
21.75,1488.47,0.438,0.434,11.1026,34.714761,30.6275,11.1025,7.79261,237.965,1023.3572
22,1488.27,0.481,0.476,11.0048,34.754712,30.7483,11.0048,7.80917,238.445,1023.4681
22.25,1488.27,0.536,0.531,10.9544,34.856058,30.8901,10.9544,7.82136,238.789,1023.5874
22.5,1488.42,0.595,0.59,10.9326,35.033028,31.0827,10.9325,7.82963,239.006,1023.7412
22.75,1488.41,0.666,0.66,10.9219,35.042558,31.1011,10.9219,7.84251,239.395,1023.7576
23,1488.21,0.775,0.768,10.9173,34.882261,30.9471,10.9172,7.86449,240.094,1023.6392
23.25,1488.07,0.913,0.905,10.9112,34.776662,30.8482,10.9111,7.8998,241.19,1023.5639
23.5,1488,1.062,1.052,10.9019,34.732916,30.8129,10.9018,7.92565,241.985,1023.5387
23.75,1487.97,1.19,1.179,10.8898,34.731203,30.8213,10.8897,7.9138,241.621,1023.5479
24,1487.93,1.304,1.292,10.8725,34.734023,30.8386,10.8724,7.72318,235.798,1023.5649
24.25,1487.89,1.403,1.39,10.8585,34.735311,30.8516,10.8583,7.57123,231.155,1023.5779
24.5,1487.8,1.477,1.463,10.8414,34.694586,30.8259,10.8412,7.48247,228.449,1023.5611
24.75,1487.71,1.493,1.48,10.8202,34.658594,30.8082,10.82,7.38465,225.465,1023.551
25,1487.56,1.501,1.487,10.7994,34.576377,30.7446,10.7992,7.1678,218.854,1023.5051
25.25,1487.49,1.528,1.513,10.7738,34.576808,30.7665,10.7736,6.88665,210.265,1023.5266
25.5,1487.54,1.547,1.532,10.7605,34.643301,30.8433,10.7603,6.59863,201.459,1023.5888
25.75,1487.48,1.537,1.522,10.752,34.613934,30.8215,10.7519,6.35165,193.922,1023.5732
26,1487.43,1.51,1.496,10.7444,34.591243,30.8055,10.7442,6.16882,188.342,1023.5619
26.25,1487.4,1.478,1.465,10.7378,34.574672,30.7947,10.7376,5.9161,180.627,1023.5545
26.5,1487.39,1.459,1.445,10.7347,34.574917,30.7976,10.7345,5.66125,172.846,1023.5572
26.75,1487.42,1.459,1.446,10.7395,34.589776,30.8082,10.7393,5.47684,167.214,1023.5646
27,1487.44,1.48,1.467,10.7469,34.591243,30.8034,10.7468,5.35121,163.38,1023.5597
27.25,1487.44,1.523,1.509,10.7504,34.584882,30.7942,10.7502,5.24529,160.147,1023.5522
27.5,1487.44,1.574,1.559,10.7479,34.58635,30.7977,10.7478,5.15967,157.532,1023.5555
27.75,1487.45,1.604,1.589,10.7406,34.608553,30.8257,10.7404,5.08996,155.4,1023.5787
28,1487.46,1.598,1.583,10.7343,34.633085,30.8553,10.7341,5.04273,153.955,1023.6028
28.25,1487.39,1.565,1.55,10.7291,34.588065,30.8152,10.7289,5.02338,153.369,1023.5723
28.5,1487.34,1.524,1.51,10.7222,34.562629,30.7959,10.722,5.03044,153.586,1023.5583
28.75,1487.32,1.487,1.473,10.7171,34.551564,30.7892,10.717,5.0305,153.589,1023.5538
29,1487.31,1.469,1.455,10.7167,34.54967,30.7878,10.7165,5.02002,153.269,1023.5526
29.25,1487.32,1.483,1.469,10.7183,34.551564,30.7883,10.7181,5.01589,153.143,1023.5528
29.5,1487.33,1.529,1.515,10.7202,34.557311,30.7924,10.72,4.99271,152.435,1023.5559
29.75,1487.35,1.581,1.567,10.7214,34.569844,30.8037,10.7212,4.97279,151.825,1023.5648
30,1487.39,1.615,1.6,10.7212,34.600359,30.834,10.721,4.96005,151.433,1023.5885
30.25,1487.43,1.605,1.591,10.7221,34.632903,30.8654,10.7219,4.95359,151.232,1023.6128
30.5,1487.46,1.556,1.542,10.7263,34.646976,30.8759,10.7261,4.96828,151.679,1023.62
30.75,1487.35,1.495,1.481,10.7238,34.563423,30.7954,10.7236,5.0031,152.752,1023.5575
31,1487.29,1.446,1.432,10.7147,34.534206,30.7741,10.7146,4.9725,151.82,1023.5422
31.25,1487.31,1.476,1.462,10.7185,34.546491,30.7831,10.7183,4.95859,151.394,1023.5487
31.5,1487.35,1.527,1.513,10.722,34.56428,30.7977,10.7219,4.9362,150.709,1023.5597
31.75,1487.38,1.579,1.564,10.725,34.589105,30.8197,10.7248,4.89871,149.562,1023.5766
32,1487.43,1.607,1.592,10.7271,34.620789,30.8492,10.727,4.84801,148.011,1023.5993
32.25,1487.45,1.6,1.586,10.73,34.637797,30.8636,10.7298,4.79264,146.319,1023.61
32.5,1487.47,1.561,1.546,10.7328,34.643916,30.8673,10.7326,4.75395,145.137,1023.6122
32.75,1487.37,1.51,1.496,10.7283,34.570637,30.7987,10.7281,4.72929,144.392,1023.5594
33,1487.32,1.47,1.456,10.7218,34.54649,30.7803,10.7217,4.74467,144.863,1023.5459
33.25,1487.3,1.463,1.45,10.7181,34.531761,30.7688,10.718,4.74025,144.729,1023.5376
33.5,1487.3,1.493,1.48,10.718,34.532922,30.7701,10.7178,4.7523,145.097,1023.5388
33.75,1487.34,1.544,1.529,10.7194,34.563424,30.799,10.7192,4.7655,145.497,1023.5613
34,1487.51,1.582,1.567,10.7228,34.701642,30.9329,10.7226,4.7681,145.561,1023.665
34.25,1487.66,1.595,1.581,10.7306,34.812422,31.0359,10.7304,4.77133,145.649,1023.7439
