Time,Sound Velocity,"Pressure, Strain Gauge [db]",Depth,Temperature ,Conductivity,Salinity,Potential Temperature ,Oxygen [mg/l],Oxygen [umol/Kg],Density
15,1492.8,1.655,1.64,12.4668,35.490615,30.2572,12.4666,3.94733,120.603,1022.83
15.25,1492.8,1.649,1.634,12.4684,35.492592,30.2578,12.4682,3.96154,121.037,1022.8301
15.5,1492.8,1.657,1.641,12.4698,35.490182,30.2544,12.4696,3.97287,121.384,1022.8273
15.75,1492.79,1.68,1.665,12.47,35.479679,30.2443,12.4698,3.97954,121.589,1022.8195
16,1492.78,1.711,1.696,12.4673,35.477888,30.2447,12.4671,3.9902,121.914,1022.8205
16.25,1492.78,1.734,1.718,12.4618,35.487464,30.2582,12.4616,4.00126,122.251,1022.832
16.5,1492.78,1.737,1.721,12.4584,35.490369,30.2637,12.4582,4.0045,122.349,1022.8369
16.75,1492.75,1.72,1.704,12.4549,35.478816,30.2556,12.4547,3.99888,122.178,1022.8312
17,1492.75,1.685,1.67,12.4616,35.461828,30.2341,12.4614,4.00093,122.243,1022.8132
17.25,1492.8,1.644,1.629,12.4866,35.452993,30.2057,12.4864,3.9962,122.102,1022.7864
17.5,1492.83,1.61,1.595,12.5005,35.452126,30.1937,12.5003,4.00469,122.362,1022.7743
17.75,1492.83,1.6,1.585,12.4968,35.456697,30.2011,12.4965,4.02527,122.99,1022.7807
18,1492.79,1.618,1.603,12.4839,35.4462,30.2015,12.4837,4.04063,123.459,1022.7835
18.25,1492.76,1.656,1.641,12.4731,35.445769,30.2097,12.4729,4.07161,124.405,1022.792
18.5,1492.57,1.695,1.68,12.3972,35.445592,30.2706,12.397,4.10955,125.557,1022.8535
18.75,1492.07,1.725,1.709,12.1962,35.438144,30.4262,12.196,4.16912,127.357,1023.0113
19,1491.58,1.738,1.722,11.9941,35.444527,30.5973,11.9939,4.22721,129.11,1023.181
19.25,1491.35,1.735,1.719,11.8939,35.467267,30.7015,11.8937,4.27787,130.645,1023.28
19.5,1491.26,1.711,1.696,11.8581,35.466036,30.7298,11.8579,4.30854,131.578,1023.3084
19.75,1491.14,1.672,1.657,11.8109,35.462273,30.7652,11.8107,4.33773,132.465,1023.3442
20,1491.27,1.63,1.614,11.8628,35.460044,30.7202,11.8626,4.34625,132.731,1023.2997
20.25,1491.51,1.604,1.589,11.9628,35.453485,30.6316,11.9626,4.34395,132.672,1023.2127
20.5,1491.67,1.607,1.592,12.0434,35.418835,30.5324,12.0432,4.31995,131.95,1023.1211
20.75,1491.71,1.633,1.617,12.0843,35.370752,30.4529,12.0841,4.31449,131.793,1023.0521
