Time,Sound Velocity,"Pressure, Strain Gauge [db]",Depth,Temperature ,Conductivity,Salinity,Potential Temperature ,Oxygen [mg/l],Oxygen [umol/Kg],Density
0,1489.94,0.862,0.854,11.9983,34.010235,29.224,11.9982,9.88792,302.318,1022.1118
0.25,1489.98,0.852,0.844,11.9986,34.044806,29.2567,11.9985,9.81781,300.167,1022.137
0.5,1490.04,0.849,0.841,11.9979,34.102132,29.3118,11.9978,9.71514,297.016,1022.1799
0.75,1490.07,0.857,0.849,11.9974,34.13157,29.3403,11.9973,9.59836,293.439,1022.202
1,1490.07,0.87,0.862,11.9976,34.123845,29.3327,11.9975,9.46693,289.423,1022.1962
1.25,1490,0.885,0.876,11.9974,34.061216,29.2732,11.9973,9.33911,285.528,1022.1502
1.5,1489.89,0.894,0.886,11.9959,33.969241,29.1868,11.9958,9.2104,281.611,1022.0836
1.75,1489.84,0.895,0.886,11.9936,33.93561,29.1566,11.9935,9.09394,278.057,1022.0606
2,1489.81,0.888,0.879,11.9918,33.914431,29.1378,11.9917,8.99208,274.946,1022.0463
2.25,1489.8,0.875,0.867,11.9782,33.928754,29.1621,11.9781,8.92782,272.976,1022.0675
2.5,1489.8,0.863,0.855,11.9572,33.978596,29.226,11.9571,8.86927,271.171,1022.1207
2.75,1489.82,0.854,0.846,11.9463,34.017895,29.2721,11.9462,8.808,269.288,1022.1584
3,1489.85,0.852,0.844,11.9447,34.049188,29.3032,11.9446,8.75414,267.635,1022.1827
3.25,1489.86,0.859,0.851,11.9476,34.057939,29.3092,11.9475,8.69903,265.949,1022.1869
3.5,1489.82,0.871,0.863,11.9504,34.013581,29.2647,11.9503,8.65994,264.763,1022.1519
3.75,1489.73,0.881,0.873,11.9486,33.933977,29.1902,11.9485,8.61229,263.321,1022.0946
4,1489.67,0.886,0.878,11.942,33.898783,29.1618,11.9419,8.5802,262.345,1022.0738
4.25,1489.64,0.883,0.875,11.9396,33.880282,29.1461,11.9395,8.54135,261.16,1022.062
4.5,1489.63,0.877,0.868,11.9341,33.88004,29.1502,11.9339,8.50374,260.009,1022.0662
4.75,1489.63,0.869,0.861,11.9173,33.918202,29.1997,11.9172,8.4742,259.095,1022.1075
5,1489.65,0.865,0.857,11.9042,33.961601,29.2514,11.9041,8.45403,258.468,1022.1499
5.25,1489.67,0.865,0.857,11.9011,33.99172,29.2826,11.901,8.41857,257.378,1022.1746
5.5,1489.7,0.868,0.86,11.9044,34.008544,29.2961,11.9043,8.39278,256.587,1022.1845
5.75,1489.69,0.871,0.863,11.9091,33.985889,29.2707,11.909,8.38194,256.261,1022.164
6,1489.62,0.872,0.864,11.9098,33.930036,29.2169,11.9097,8.3676,255.833,1022.1222
6.25,1489.57,0.873,0.865,11.9038,33.895208,29.1883,11.9037,8.36097,255.635,1022.1011
6.5,1489.54,0.873,0.865,11.8984,33.882531,29.1805,11.8983,8.35194,255.36,1022.096
6.75,1489.54,0.872,0.864,11.8969,33.884836,29.1838,11.8968,8.34932,255.279,1022.0988
7,1489.56,0.873,0.865,11.8966,33.902428,29.2009,11.8965,8.34685,255.201,1022.1121
7.25,1489.58,0.873,0.865,11.8963,33.920631,29.2185,11.8962,8.35381,255.41,1022.1258
7.5,1489.59,0.874,0.866,11.896,33.927307,29.2251,11.8959,8.34473,255.131,1022.131
7.75,1489.58,0.873,0.865,11.8959,33.92051,29.2187,11.8958,8.34438,255.122,1022.1261
8,1489.56,0.87,0.862,11.8952,33.909466,29.2086,11.8951,8.3333,254.785,1022.1184
8.25,1489.55,0.867,0.859,11.894,33.904127,29.2045,11.8939,8.33173,254.737,1022.1154
8.5,1489.55,0.865,0.857,11.8922,33.907222,29.2089,11.8921,8.31243,254.146,1022.1191
8.75,1489.55,0.864,0.856,11.8906,33.91159,29.2143,11.8905,8.30232,253.836,1022.1236
9,1489.55,0.867,0.859,11.8892,33.911166,29.215,11.8891,8.28426,253.284,1022.1243
9.25,1489.54,0.871,0.863,11.8883,33.906373,29.2111,11.8882,8.27219,252.916,1022.1216
9.5,1489.54,0.874,0.866,11.8873,33.903036,29.2087,11.8872,8.25669,252.442,1022.1199
9.75,1489.53,0.877,0.869,11.8862,33.903036,29.2096,11.8861,8.23696,251.839,1022.1208
10,1489.53,0.879,0.871,11.885,33.899335,29.207,11.8849,8.21922,251.297,1022.119
10.25,1489.51,0.88,0.871,11.884,33.885444,29.1945,11.8838,8.19987,250.708,1022.1095
10.5,1489.48,0.875,0.867,11.8825,33.866096,29.1772,11.8824,8.17477,249.943,1022.0963
10.75,1489.47,0.868,0.86,11.8806,33.856454,29.1695,11.8805,8.16043,249.506,1022.0906
11,1489.47,0.86,0.852,11.8785,33.8664,29.1806,11.8784,8.14115,248.915,1022.0996
11.25,1489.51,0.854,0.846,11.8769,33.900974,29.2149,11.8768,8.11574,248.131,1022.1264
11.5,1489.56,0.853,0.845,11.8762,33.947034,29.2594,11.8761,8.09405,247.46,1022.161
11.75,1489.58,0.857,0.849,11.8778,33.96719,29.2775,11.8777,8.06689,246.626,1022.1748
12,1489.58,0.866,0.858,11.8811,33.954318,29.2625,11.881,8.04751,246.036,1022.1627
12.25,1489.54,0.879,0.871,11.8835,33.918387,29.2263,11.8834,8.02997,245.507,1022.1342
